msv,classID,timeStamp,emotion,diemTB_baitap,soAnhChup,soLanHoc,baiHoanThanh,tbThoiGian1LanHoc,tbThoiGianHoanThanhBai,tbPhanTramMoiLanHoc,tgianHocTrongTuan,tgianHocGioHanhChinh,tgianHocNgoaiHanhChinh,trongTuan,cuoiTuan
student_026,GENE1001-2-3-24(N01),27:14.6,neutral,8,106,82,62,129,170.7,78.4,10580.3,607.8,9972.5,10568.1,12.2
student_028,GENE1001-2-3-24(N01),29:43.9,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),29:43.9,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_027,GENE1001-2-3-24(N01),30:51.9,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),30:51.9,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),31:44.1,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),34:03.5,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),34:11.9,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_028,GENE1001-2-3-24(N01),36:30.8,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),36:46.8,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),37:02.5,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_027,GENE1001-2-3-24(N01),37:34.0,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),37:34.1,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),37:44.8,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),37:45.9,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),37:46.9,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),37:55.2,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_028,GENE1001-2-3-24(N01),38:15.3,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_016,GENE1001-2-3-24(N01),38:22.2,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),38:22.2,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
